Nom usuel de l'installation,Numéro de l'installation,Nom de la commune,Code postal,Nom du lieu dit,Numero de la voie,Nom de la voie,Longitude,Latitude,Aucun aménagement d'accessibilité,Nombre total d'équipements sportifs,Nombre total de fiches équipements
Terrain de Sports,440010002,Abbaretz,44170,,,Le Bois Vert,-1.532627,47.552265,Oui,4,3
Site de la Mine,440010003,Abbaretz,44170,,,,-1.532627,47.552265,Oui,4,4
Les 5 Tresors,440010004,Abbaretz,44170,,,Rue de la Gare,-1.532627,47.552265,Non,1,1
Ecole Maternelle Louis Davy,440010005,Abbaretz,44170,,22,RUE DES ECOLES,-1.532627,47.552265,Non,1,1
Salle Polyvalente,440010006,Abbaretz,44170,,,rue de la mairie,-1.532627,47.552265,Non,1,1
Zone de Loisirs de la Salle Polyvalente,440010007,Abbaretz,44170,,,rue de la mairie,-1.532627,47.552265,Oui,3,2
Complexe Sportif des Richardieres,440020001,Aigrefeuille-sur-Maine,44140,,67,rue de la Chapelle,-1.400693,47.075698,Non,12,11
Poney Club de la Violette,440020002,Aigrefeuille-sur-Maine,44140,la violette,,,-1.400693,47.075698,Non,2,2
Circuits de Randonnee,440020003,Aigrefeuille-sur-Maine,44140,,,Chemin des tanneries,-1.400693,47.075698,Oui,3,3
La Trelitiere,440020004,Aigrefeuille-sur-Maine,44140,La Trélitière,,,-1.400693,47.075698,Oui,1,1
Parc du Plessis,440020005,Aigrefeuille-sur-Maine,44140,le Plessis,,D 117,-1.400693,47.075698,Oui,1,1
Terrains de Sports Mfr,440020006,Aigrefeuille-sur-Maine,44140,,,avenue de Nantes,-1.400693,47.075698,Non,1,1
Le Moulin Reusard,440020007,Aigrefeuille-sur-Maine,44140,Le Moulin Reusard,,,-1.400693,47.075698,Oui,1,1
Site du Guidreau,440020008,Aigrefeuille-sur-Maine,44140,Le Guidreau,,,-1.400693,47.075698,Oui,1,1
Ecole Gustave Roch,440020010,Aigrefeuille-sur-Maine,44140,,28,Avenue de Vendée,-1.400693,47.075698,Non,1,1
Salles des Echecs,440022114,Aigrefeuille-sur-Maine,44140,,25,route de Nantes,-1.400693,47.075698,Oui,3,3
Ensemble Sportif du Pontreau,440030001,Ancenis,44150,,,Boulevard Joseph Vincent,-1.178918,47.372641,Non,3,3
Stade de la Davrays,440030002,Ancenis,44150,La Davrays,,Impasse de l'île Mouchet,-1.178918,47.372641,Non,8,6
Complexe du Bois Jauni,440030003,Ancenis,44150,,290,avenue des Jeux Olympiques,-1.178918,47.372641,Non,7,7
Complexe du Pressoir Rouge,440030004,Ancenis,44150,,320,rue du Pressoir-Rouge,-1.178918,47.372641,Non,5,4
Halte Nautique,440030005,Ancenis,44150,,,Rond Point Barrière Saint Pierre,-1.178918,47.372641,Non,1,1
La Charbonniere,440030006,Ancenis,44150,,,Boulevard de Kirkham,-1.178918,47.372641,Non,8,5
Piscine Municipale D'Ete de la Charbonniere,440030007,Ancenis,44150,,,Boulevard Joubert,-1.178918,47.372641,Non,2,2
Piste de Karting de L'Aubiniere,440030009,Ancenis,44150,,,L'Aubinière,-1.178918,47.372641,Non,1,1
Centre Aquatique Jean Blanchet,440030010,Ancenis,44150,,184,Rue Pierre de Coubertin,-1.178918,47.372641,Non,2,2
Espace Corail,440030011,Ancenis,44150,,,place Francis Robert,-1.178918,47.372641,Non,2,2
Orange Bleue,440030012,Ancenis,44150,,65,avenue du Général Hagron,-1.178918,47.372641,Non,2,2
Circuits de Randonnee,440030014,Ancenis,44150,,,,-1.178918,47.372641,Oui,7,7
Aeroport du Pays D'Ancenis,440030015,Ancenis,44150,,60,Place Hélène Boucher,-1.178918,47.372641,Non,2,2
Stand de Tir de L'Aubiniere,440030016,Ancenis,44150,L'Aubinière,,,-1.178918,47.372641,Oui,1,1
Lycee College Saint Joseph,440030017,Ancenis,44150,,66,rue du collège,-1.178918,47.372641,Oui,7,7
Les Abattoirs,440030018,Ancenis,44150,,72,rue saint fiacre,-1.178918,47.372641,Non,1,1
Etang de la Planche,440030019,Ancenis,44150,La Planche,,,-1.178918,47.372641,Non,1,1
Espace de Glisse Urbaine,440030020,Ancenis,44150,,,Bd Vincent,-1.178918,47.372641,Oui,1,1
Espace Lamoriciere,440030021,Ancenis,44150,,174,rue Lamoricière,-1.178918,47.372641,Non,3,3
Site de L'Ile Mouchet,440030022,Ancenis,44150,,,impasse de l'Ile Mouchet,-1.178918,47.372641,Oui,2,2
Groupe Scolaire Sevigne,440030023,Ancenis,44150,,,Bld Madame de Sévigné,-1.178918,47.372641,Non,3,3
Ecole Sainte Anne,440030024,Ancenis,44150,,,Bld Ottmann,-1.178918,47.372641,Non,2,2
Stade Joseph Menoret,440040001,Anetz,44150,,,Impasse des sports,-1.103978,47.382099,Oui,1,1
Complexe Sportif de la Cour,440040002,Anetz,44150,,,Rue de Port Arthur,-1.103978,47.382099,Oui,7,6
Circuits et Sentiers,440040003,Anetz,44150,,,,-1.103978,47.382099,Oui,7,7
Cale des Cosniers,440040005,Anetz,44150,Les Cosniers,,,-1.103978,47.382099,Oui,1,1
Cale de la Chaussee,440040006,Anetz,44150,La Chaussée,,D 8,-1.103978,47.382099,Oui,1,1
Cale de la Basse Boire,440040007,Anetz,44150,La Basse Boire,,,-1.103978,47.382099,Oui,1,1
Complexe Sportif Stade des Chaumes,440050001,Arthon-en-Retz,44320,,,Rue du Stade,-1.93926,47.116381,Non,9,7
Plan D'Eau de la Vesquerie,440050002,Arthon-en-Retz,44320,La Vesquerie,,D206,-1.93926,47.116381,Oui,1,1
Circuits de Randonnees,440050003,Arthon-en-Retz,44320,,,,-1.93926,47.116381,Oui,2,2
Terrain de Foot la Sicaudais,440050004,Arthon-en-Retz,44320,la sicaudais,,,-1.93926,47.116381,Oui,1,1
Le Plan D'Eau,440050005,Arthon-en-Retz,44320,La Sicaudais,,place sainte victoire,-1.93926,47.116381,Oui,2,2
Stade Henri Boulard,440060001,Assérac,44410,,,Rue du Parc Guillore,-2.390511,47.428545,Oui,3,3
Circuits de Randonnees,440060006,Assérac,44410,,,,-2.390511,47.428545,Oui,3,3
Plage de Pont Mahe,440060007,Assérac,44410,Pont Mahé,,,-2.390511,47.428545,Non,1,1
Piste de Skate Board,440060008,Assérac,44410,,,Rue du Pont Bérin,-2.390511,47.428545,Oui,1,1
Baie de Keravelo,440060009,Assérac,44410,Kéravelo,,,-2.390511,47.428545,Oui,1,1
Salle des Fetes,440060010,Assérac,44410,,,Rue de la Fontaine,-2.390511,47.428545,Non,1,1
